,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
531,531,boston,1,2,active,ARFF,,9.0,,0.0,14.0,506.0,0.0,0.0,12.0,2.0
534,534,cps_85_wages,1,2,active,ARFF,,6.0,,0.0,11.0,534.0,0.0,0.0,4.0,7.0
536,536,arsenic-male-lung,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
540,540,mu284,1,2,active,ARFF,,,,0.0,11.0,284.0,0.0,0.0,11.0,0.0
547,547,no2,1,2,active,ARFF,,,,0.0,8.0,500.0,0.0,0.0,8.0,0.0
549,549,strikes,1,2,active,ARFF,,,,0.0,7.0,625.0,0.0,0.0,7.0,0.0
550,550,quake,2,2,active,ARFF,,,,0.0,4.0,2178.0,0.0,0.0,4.0,0.0
555,555,analcatdata_apnea3,1,2,active,ARFF,,5.0,,0.0,4.0,450.0,0.0,0.0,2.0,2.0
557,557,analcatdata_apnea1,1,2,active,ARFF,,5.0,,0.0,4.0,475.0,0.0,0.0,2.0,2.0
558,558,bank32nh,1,2,active,ARFF,,,,0.0,33.0,8192.0,0.0,0.0,33.0,0.0
560,560,bodyfat,1,2,active,ARFF,,,,0.0,15.0,252.0,0.0,0.0,15.0,0.0
562,562,cpu_small,2,2,active,ARFF,,,,0.0,13.0,8192.0,0.0,0.0,13.0,0.0
567,567,kdd_coil_1,1,2,active,ARFF,,4.0,,0.0,12.0,316.0,34.0,56.0,9.0,3.0
572,572,bank8FM,1,2,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0
573,573,cpu_act,2,2,active,ARFF,,,,0.0,22.0,8192.0,0.0,0.0,22.0,0.0
574,574,house_16H,1,2,active,ARFF,,,,0.0,17.0,22784.0,0.0,0.0,17.0,0.0
664,664,chscase_census6,1,2,active,ARFF,,,,0.0,7.0,400.0,0.0,0.0,7.0,0.0
666,666,rmftsa_ladata,1,2,active,ARFF,,,,0.0,11.0,508.0,0.0,0.0,11.0,0.0
676,676,disclosure_x_tampered,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0
688,688,visualizing_soil,1,2,active,ARFF,,2.0,,0.0,5.0,8641.0,0.0,0.0,4.0,1.0
690,690,visualizing_galaxy,1,2,active,ARFF,,,,0.0,5.0,323.0,0.0,0.0,5.0,0.0
703,703,chscase_foot,1,2,active,ARFF,,297.0,,0.0,6.0,526.0,0.0,0.0,4.0,2.0
709,709,disclosure_x_bias,1,2,active,ARFF,,,,0.0,4.0,662.0,0.0,0.0,4.0,0.0
712,712,chscase_geyser1,1,2,active,ARFF,,,,0.0,3.0,222.0,0.0,0.0,3.0,0.0
1027,1027,ESL,1,2,active,ARFF,,,,0.0,5.0,488.0,0.0,0.0,5.0,0.0
1028,1028,SWD,1,2,active,ARFF,,,,0.0,11.0,1000.0,0.0,0.0,11.0,0.0
1030,1030,ERA,1,2,active,ARFF,,,,0.0,5.0,1000.0,0.0,0.0,5.0,0.0
1097,1097,ICU,1,2,active,ARFF,,,,0.0,21.0,200.0,0.0,0.0,21.0,0.0
1245,1245,lungcancer_shedden,1,29,active,ARFF,,2.0,,0.0,24.0,442.0,0.0,0.0,21.0,3.0
23395,23395,COMET_MC_SAMPLE,2,753,active,ARFF,,,,0.0,6.0,89640.0,0.0,0.0,6.0,0.0
